2023-03-04 02:39:39,271: 't'
2023-03-04 02:39:39,810: 'h'
2023-03-04 02:39:40,357: 'e'
2023-03-04 02:39:40,509: Key.space
2023-03-04 02:39:41,047: 'k'
2023-03-04 02:39:41,224: 'e'
2023-03-04 02:39:41,364: 'y'
2023-03-04 02:39:41,445: Key.space
2023-03-04 02:39:41,648: 'l'
2023-03-04 02:39:41,875: 'o'
2023-03-04 02:39:42,013: 'g'
2023-03-04 02:39:42,192: 'g'
2023-03-04 02:39:42,309: 'e'
2023-03-04 02:39:42,415: 'r'
2023-03-04 02:39:42,501: Key.space
2023-03-04 02:39:42,619: 'i'
2023-03-04 02:39:42,721: 's'
2023-03-04 02:39:42,789: Key.space
2023-03-04 02:39:42,977: 'r'
2023-03-04 02:39:43,134: 'u'
2023-03-04 02:39:43,359: 'n'
2023-03-04 02:39:43,522: 'i'
2023-03-04 02:39:43,618: 'n'
2023-03-04 02:39:43,699: 'g'
2023-03-04 02:39:43,955: Key.enter
